Probe	CCL_A	CCL_B	CCL_C
cg00819310	0.9244	0.9097	0.8885
cg00819362	0.9	0.9371	0.9132
cg00819696	0.0071	0.0101	0.0218
cg00821764	0.0393	0.1068	0.0485
cg00822607	0.0692	0.0582	0.1071
cg00824109	0.0134	0.0277	0.0227
cg00825031	0.0394	0.0708	0.1005
cg00826384	0.1368	0.0823	0.1045
cg00827369	0.0592	0.0531	0.0774
cg00828602	0.6808	0.7587	0.0497
cg00830029	0.0486	0.8579	0.64
cg00830393	0.0361	0.0405	0.0361
cg00831028	0.0741	0.068	0.0709
cg00832517	0.0769	0.0433	0.0817
cg00833393	0.0597	0.1088	0.0616
cg00833777	0.375	0.8373	0.2807
cg00834796	0.0864	0.2172	0.0595
cg00834958	0.0641	0.0661	0.06
cg00836605	0.1362	0.0674	0.0792
cg00838150	0.0538	0.0455	0.0751
cg00839584	0.7081	0.0274	0.7138
cg00839802	0.1139	0.0182	0.0145
cg00840516	0.7824	0.8483	0.8236
cg00841581	0.0566	0.0543	0.0519
cg00842351	0.9509	0.0324	0.0332
cg00846036	0.4737	0.8684	0.0355
cg00848394	0.0234	0.0298	0.0735
cg00848397	0.069	0.0544	0.0731
cg00848728	0.3538	0.7889	0.2003
cg00849368	0.0747	0.0931	0.0866
cg00850538	0.8775	0.1999	0.0705
cg00852964	0.7594	0.7753	0.3082
cg00853068	0.3191	0.7323	0.739
cg00854637	0.0811	0.0775	0.0984
cg00854995	0.055	0.0541	0.0909
cg00856375	0.052	0.0538	0.0579
cg00858899	0.0315	0.1169	0.0774
cg00859655	0.8885	0.8545	0.8928
cg00861635	0.056	0.0738	0.1025
cg00862041	0.89	0.907	0.8219
cg00862290	0.85	0.934	0.9595
cg00862770	0.0735	0.0358	0.0443
cg00864867	0.0484	0.0288	0.0461
cg00870662	0.0375	0.0503	0.0513
cg00871453	0.044	0.0756	0.0405
cg00873037	0.0463	0.0477	0.0636
cg00873937	0.0684	0.0665	0.06
cg00874863	0.7913	0.0418	0.4305
cg00875272	0.094	0.9273	0.6401
cg00876704	0.0037	0.0597	0.0721
cg00877887	0.0614	0.8445	0.1816
cg00877964	0.5189	0.0435	0.0628
cg00881086	0.0574	0.0726	0.0718
cg00881370	0.7831	0.9491	0.7507
cg00882451	0.7815	0.9537	0.5201
cg00882832	0.0405	0.0329	0.0086
cg00884221	0.497	0.2161	0.4536
cg00884529	0.1014	0.1078	0.117
cg00885506	0.0183	0.0321	0.034
cg00886554	0.1525	0.1514	0.0948
cg00887101	0.0518	0.0677	0.0665
cg00887547	0.1028	0.0975	0.1302
cg00887700	0.0334	0.0235	0.0696
cg00888007	0.2041	0.3533	0.1711
cg00888479	0.4596	0.6904	0.3635
cg00888561	0.0669	0.065	0.0861
cg00890257	0.059	0.4343	0.5704
cg00891278	0.6278	0.8981	0.8387
cg00891541	0.9511	0.9661	0.6855
cg00892393	0.2599	0.9912	0.1553
cg00892798	0.2448	0.2153	0.101
cg00893242	0.0501	0.0436	0.0692
cg00893636	0.6661	0.0546	0.0629
cg00893987	0.0353	0.0495	0.0526
cg00895324	0.5523	0.6157	0.0478
cg00897329	0.0735	0.0648	0.0854
cg00899086	0.0677	0.07	0.0627
cg00899641	0.0313	0.0246	0.0506
cg00901493	0.0382	0.3461	0.4405
cg00901652	0.0362	0.0302	0.0309
cg00901683	0.0341	0.0303	0.0687
cg00901704	0.0681	0.0627	0.0773
cg00901766	0.0514	0.0333	0.0584
cg00903242	0.5437	0.9067	0.1782
cg00903375	0.0902	0.0732	0.0991
cg00904483	0.9007	0.6022	0.4262
cg00904574	0.0425	0.041	0.0614
cg00905170	0.0477	0.0473	0.0664
cg00906183	0.0651	0.0655	0.1054
cg00908551	0.0799	0.3771	0.1449
cg00910067	0.3021	0.6756	0.5075
cg00910168	0.8691	0.9345	0.639
cg00911351	0.8938	0.9046	0.463
cg00911873	0.71	0.9534	0.9479
cg00912191	0.0408	0.0372	0.0315
cg00912942	0.2677	0.9496	0.8079
cg00915289	0.0571	0.0473	0.067
cg00916199	0.0434	0.0491	0.0771
cg00916635	0.7163	0.5446	0.124
cg00917893	0.0481	0.0461	0.0556
cg00918794	0.0825	0.0809	0.1007
cg00920960	0.0588	0.048	0.0335
cg00922727	0.2213	0.0574	0.0457
cg00925717	0.298	0.7919	0.1348
cg00929855	0.075	0.0252	0.1022
cg00930078	0.0314	0.0523	0.0324
cg00930194	0.1182	0.929	0.1447
cg00930873	0.7301	0.0429	0.4953
cg00931491	0.2916	0.5388	0.5033
cg00932276	0.3447	0.8231	0.3752
cg00935388	0.8531	0.9053	0.8899
cg00935430	0.0455	0.0472	0.0576
cg00936626	0.8753	0.9158	0.9258
cg00940278	0.0427	0.0359	0.0423
cg00940891	0.0013	0.0163	0.01
cg00941229	0.0011	0.012	0.0183
cg00943245	0.0861	0.8668	0.8237
cg00943950	0.07	0.0854	0.08
cg00945507	0.0538	0.1262	0.121
cg00945862	0.1704	0.8786	0.6797
cg00947019	0.0467	0.045	0.1296
cg00947275	0.0383	0.2347	0.03
cg00948524	0.4534	0.0357	0.243
cg00949554	0.1852	0.2548	0.0213
cg00950418	0.0791	0.0911	0.1115
cg00950621	0.034	0.0259	0.0491
cg00951770	0.4207	0.9223	0.6137
cg00953256	0.2962	0.749	0.7701
cg00953277	0.0225	0.026	0.0472
cg00954003	0	0.0052	0
cg00954566	0.0299	0.0353	0.0497
cg00955230	0.0583	0.0603	0.0705
cg00955451	0.3156	0.8939	0.8805
cg00958517	0.0456	0.0344	0.056
cg00958560	0.3194	0.5439	0.0715
cg00960702	0.0867	0.0679	0.0836
cg00962459	0.0844	0.8034	0.1327
cg00962635	0.1071	0.8136	0.3731
cg00962799	0.5806	0.706	0.362
cg00964109	0.034	0.0236	0.0431
cg00967316	0.116	0.7846	0.1464
cg00968475	0.8042	0.5389	0.5116
cg00969271	0.6022	0.8435	0.8561
cg00969446	0.893	0.9016	0.6481
cg00970325	0.8752	0.9278	0.9246
cg00971396	0.0648	0.0753	0.0712
cg00973286	0.0332	0.025	0.0305
cg00973334	0.0569	0.0437	0.0603
cg00973677	0.0473	0.8657	0.0525
cg00974864	0.1616	0.8511	0.759
cg00977690	0.0358	0.037	0.0523
cg00979348	0.1154	0.1264	0.1928
cg00980978	0.5902	0.0943	0.8681
cg00981643	0.0864	0.676	0.2701
cg00983520	0.1311	0.7377	0.4137
cg00983899	0.1462	0.8324	0.4929
cg00984602	0.0655	0.1024	0.0908
cg00986320	0.9113	0.9476	0.9377
cg00987015	0.122	0.8614	0.1356
cg00987379	0.0466	0.0629	0.0585
cg00995327	0.8585	0.08	0.0683
cg00997424	0.013	0.0377	0.0339
cg01007201	0.2682	0.89	0.7281
cg01009664	0.5994	0.9199	0.6663
cg01015871	0.1073	0.9066	0.4806
cg01015879	0.0703	0.0405	0.0495
cg01017147	0.4035	0.2905	0.4707
cg01021485	0.0495	0.0558	0.0483
cg01025762	0.0685	0.0496	0.0438
cg01025842	0.0641	0.139	0.0845
cg01026744	0.5826	0.2991	0.949
cg01027739	0.3169	0.5357	0.2058
cg01027805	0.0991	0.0637	0.0912
cg01029592	0.6059	0.0725	0.8522
cg01031251	0.7871	0.9212	0.8499
cg01031400	0.0899	0.1749	0.8346
cg01033160	0.0543	0.0691	0.0608
cg01033938	0.0444	0.941	0.619
cg01035238	0.9057	0.9523	0.9348
cg01035422	0.617	0.8101	0.6619
cg01036148	0.0883	0.082	0.1237
cg01036173	0.0524	0.0385	0.0633
cg01036779	0.1336	0.4631	0.4915
cg01037108	0.0949	0.0751	0.1341
cg01040062	0.0586	0.0542	0.0849
cg01040759	0.0344	0.0276	0.0403
cg01040850	0.5733	0.3697	0.7751
cg01041367	0.0828	0.1593	0.1089
cg01043831	0.5318	0.7908	0.5535
cg01044662	0.1522	0.2057	0.1464
cg01044722	0.0093	0.016	0.0053
cg01045423	0.029	0.0474	0.0435
cg01046174	0.0426	0.0459	0.0631
cg01047414	0.0615	0.0635	0.0595
cg01048931	0	0.0183	0.0102
cg01049530	0.8737	0.1088	0.1986
cg01053621	0.1337	0.8867	0.3518
cg01055695	0.5993	0.856	0.6215
cg01056155	0.0686	0.0584	0.1287
cg01056568	0.1054	0.745	0.6532
cg01057962	0.0698	0.0643	0.0498
cg01058368	0.6036	0.8974	0.0981
cg01062029	0.7014	0.0586	0.4788
cg01063524	0.0569	0.0495	0.0455
cg01063813	0.0721	0.0815	0.0923
cg01064307	0.0727	0.0752	0.1049
cg01064957	0.0538	0.0516	0.076
cg01065920	0.0238	0.0213	0.0332
cg01069256	0.1371	0.088	0.0932
cg01071811	0.5334	0.6059	0.671
cg01072821	0.0658	0.3111	0.0456
cg01076838	0.5005	0.891	0.8794
cg01078434	0.4726	0.9308	0.2939
cg01078871	0.013	0.0185	0.0276
cg01079126	0.0461	0.0452	0.0569
cg01080862	0.0823	0.0649	0.1154
cg01081263	0.4841	0.8966	0.8992
cg01086868	0.2161	0.8854	0.0873
cg01086895	0.9925	0.9823	0.9978
cg01086978	0.0863	0.1067	0.0961
cg01087382	0.0464	0.0424	0.0586
cg01087710	0.0596	0.0516	0.0656
cg01090445	0.0754	0.0557	0.1149
cg01091448	0.0245	0.0358	0.0272
cg01091565	0.7323	0.9163	0.9027
cg01092036	0.796	0.9494	0.8894
cg01092561	0.0643	0.0448	0.1411
cg01095395	0.9292	0.9189	0.9399
cg01095590	0.0551	0.0467	0.1097
cg01097940	0.0437	0.0623	0.0446
cg01100796	0.4144	0.3943	0.2753
cg01103730	0.7488	0.9018	0.8127
cg01103836	0.8769	0.8399	0.8596
cg01106788	0.7445	0.9193	0.9363
cg01107031	0.0565	0.0293	0.0524
cg01107741	0.0281	0.0179	0.0232
cg01108476	0.4639	0.8769	0.8194
cg01109219	0.071	0.8614	0.8911
cg01110312	0.4732	0.786	0.2187
cg01110846	0.0372	0.0329	0.063
cg01112452	0.7655	0.9254	0.5898
cg01112778	0.299	0.7467	0.8512
cg01114088	0.0577	0.936	0.6666
cg01116966	0.1699	0.3746	0.2683
cg01117627	0.1553	0.157	0.2156
cg01120165	0.155	0.9821	0.7136
cg01120307	0.7685	0.8714	0.8518
cg01120308	0.0354	0.0407	0.0842
cg01120898	0.0488	0.0944	0.0563
cg01124420	0.3685	0.3356	0.2119
cg01124961	0.0299	0.0204	0.038
cg01125463	0.0755	0.2071	0.0859
cg01126560	0.068	0.0735	0.1615
cg01127428	0.8318	0.8619	0.8545
cg01129459	0.4807	0.8396	0.6266
cg01130192	0.0783	0.1034	0.1088
cg01131735	0.062	0.0346	0.0384
cg01134491	0.0497	0.0411	0.0733
cg01135200	0.0277	0.0339	0.0316
cg01135626	0.115	0.8818	0.1311
cg01136458	0.051	0.5532	0.0302
cg01137065	0.082	0.1226	0.1731
cg01137532	0.4172	0.0434	0.048
cg01137708	0.0328	0.0225	0.0207
cg01137737	0.0882	0.0708	0.1324
cg01138020	0.079	0.8745	0.3528
cg01139059	0.0997	0.0672	0.1137
cg01139966	0.0216	0.0386	0.0349
cg01140782	0.04	0.0621	0.0708
cg01143454	0.0488	0.1176	0.0546
cg01144286	0.3769	0.7976	0.0964
cg01145389	0.1443	0.0857	0.0902
cg01145396	0.1408	0.9034	0.5844
cg01146980	0.0308	0.0203	0.0218
cg01150454	0.0265	0.0295	0.0376
cg01151686	0	0.0022	0.0261
cg01151699	0.5907	0.1417	0.03
cg01152019	0.0414	0.7825	0.7339
cg01152499	0.0481	0.0677	0.068
cg01154193	0.0983	0.0975	0.111
cg01154537	0.0606	0.0755	0.1915
cg01154775	0.0588	0.0539	0.0423
cg01155039	0.4998	0.9002	0.8898
cg01160766	0.0601	0.0372	0.0395
cg01161216	0.044	0.036	0.085
cg01161597	0.0493	0.0387	0.0349
cg01166674	0.0614	0.0503	0.0964
cg01168201	0.0194	0.0247	0.0252
cg01169610	0.5694	0.9066	0.8731
cg01169624	0.5519	0.0989	0.9535
cg01169726	0.1218	0.2724	0.1823
cg01171588	0.0677	0.0373	0.0867
cg01171858	0.6347	0.8944	0.7656
cg01172484	0.3086	0.0249	0.0925
cg01172656	0.0533	0.0465	0.0564
cg01172735	0.4566	0.1273	0.0939
cg01172899	0.6437	0.2704	0.8351
cg01172972	0.1042	0.0916	0.0889
cg01173291	0.0398	0.0424	0.0657
cg01176271	0.0011	0.0105	0
cg01177524	0.0392	0.0299	0.0466
cg01177956	0.0403	0.0306	0.0349
cg01182585	0.0805	0.06	0.0748
cg01182697	0.4637	0.8946	0.5065
cg01182873	0.6465	0.9344	0.6401
cg01183669	0.0412	0.0441	0.0465
cg01184449	0.1666	0.8403	0.9009
cg01184522	0.2057	0.0436	0.0462
cg01185080	0.8883	0.2299	0.8867
cg01185754	0.2335	0.0424	0.136
cg01186777	0.0633	0.0292	0.064
cg01190915	0.0373	0.0349	0.0327
cg01191395	0.0379	0.0402	0.0568
cg01192900	0.5821	0.1252	0.7522
cg01192952	0.0467	0.8277	0.0531
cg01193293	0.0531	0.8935	0.3732
cg01194444	0.416	0.8878	0.8463
cg01195014	0.0759	0.9498	0.1631
cg01195053	0.007	0.0332	0.0027
cg01195127	0.0785	0.0569	0.0986
cg01197831	0.151	0.8925	0.5124
cg01199721	0.0742	0.0711	0.0912
cg01200060	0.4022	0.5733	0.1974
cg01200177	0.0619	0.2971	0.0626
cg01204271	0.016	0.4225	0.5363
cg01204985	0.0554	0.4863	0.0572
cg01206472	0.0394	0.0385	0.0581
cg01206970	0.8833	0.9483	0.9154
cg01211097	0.4522	0.4173	0.676
cg01214321	0.0568	0.0473	0.0945
cg01214847	0.1547	0.2229	0.1275
cg01216369	0.4577	0.995	0.8097
cg01220033	0.0733	0.0636	0.0912
cg01221484	0.0082	0.0114	0.0086
cg01221637	0.0619	0.0601	0.076
cg01222684	0.0952	0.0774	0.0708
cg01226811	0.3955	0.2695	0.0811
cg01226883	0.0732	0.0682	0.0828
cg01228636	0.0797	0.0486	0.9527
cg01228667	0.5798	0.965	0.2956
cg01230160	0.0694	0.064	0.097
cg01231779	0.6405	0.8277	0.1061
cg01234063	0.0605	0.0707	0.0497
cg01234133	0.0829	0.6134	0.458
cg01236137	0.0292	0.0461	0.0252
cg01240931	0.5583	0.5975	0.0761
cg01241375	0.0445	0.0392	0.0709
cg01241836	0.0641	0.0619	0.1141
cg01242619	0.0786	0.1204	0.0575
cg01243790	0.8885	0.928	0.921
cg01244871	0.0504	0.0455	0.0581
cg01245595	0.0286	0.035	0.0638
cg01245656	0.0604	0.0744	0.1041
cg01246254	0.3251	0.262	0.3064
cg01246405	0.1389	0.107	0.1036
cg01251255	0.0077	0.0079	0.0338
cg01252496	0.1801	0.7856	0.0895
cg01253107	0.0278	0.0424	0.0254
cg01253545	0	0.0156	0
cg01254459	0.0446	0.0451	0.0546
cg01254505	0.0473	0.0504	0.6377
cg01255349	0.0925	0.0533	0.0757
cg01255591	0.2888	0.8356	0.5226
cg01257202	0.0677	0.0991	0.1008
cg01259619	0.2084	0.3346	0.2962
cg01260219	0.059	0.8989	0.5533
cg01261503	0.0589	0.1383	0.0673
cg01261535	0.0553	0.0558	0.0773
cg01262913	0.2056	0.9178	0.0901
cg01263716	0.0058	0.0736	0.0081
cg01264826	0.0808	0.071	0.0741
cg01265637	0.3795	0.9164	0.9026
cg01267315	0.0375	0.0428	0.0307
cg01269048	0.8599	0.9062	0.7333
cg01269795	0.7197	0.5341	0.1266
cg01272601	0.0314	0.0252	0.0272
cg01273150	0.0384	0.0489	0.0398
cg01275830	0.9479	0.9599	0.9413
cg01277844	0.0759	0.0961	0.0954
cg01278291	0.8396	0.9353	0.881
cg01278696	0.0535	0.0505	0.0604
cg01280080	0.0481	0.0723	0.0538
cg01281797	0.0655	0.0419	0.0553
cg01281904	0.3684	0.8867	0.3573
cg01282074	0.0391	0.9069	0.0278
cg01283289	0.3772	0.8867	0.5844
cg01284306	0.0351	0.0655	0.1159
cg01284619	0.0483	0.5993	0.2341
cg01288598	0.1741	0.1009	0.165
cg01289103	0.0406	0.9491	0.8417
cg01291404	0.2569	0.9374	0.92
cg01292265	0.0748	0.0905	0.077
cg01293647	0.3641	0.7784	0.171
cg01294695	0.0277	0.5094	0.2101
cg01294702	0.3479	0.8105	0.4634
cg01295203	0.5638	0.887	0.8238
cg01297972	0.8264	0.833	0.8906
cg01299496	0.0489	0.0687	0.0585
cg01301664	0.0725	0.0683	0.1279
cg01302245	0.2278	0.9128	0.6551
cg01305421	0.939	0.9418	0.7383
cg01305547	0.7752	0.8047	0.7958
cg01305625	0.7104	0.0485	0.5227
cg01306510	0.0496	0.0302	0.0578
cg01307730	0.4968	0.9106	0.8167
cg01308501	0.0427	0.0713	0.0892
cg01309153	0.7181	0.8075	0.7977
cg01309671	0.0735	0.0841	0.0907
cg01311051	0.0659	0.1382	0.108
cg01311285	0.3409	0.0709	0.1231
cg01313514	0.537	0.0758	0.257
cg01313949	0.9513	0.9478	0.9377
cg01313966	0.1021	0.1187	0.147
cg01316516	0.0964	0.0719	0.1232
cg01316819	0.137	0.5606	0.2042
cg01318557	0.0261	0.1311	0.0243
cg01320040	0.0617	0.0456	0.1131
cg01320361	0.0285	0.0289	0.0245
cg01320507	0.9646	0.9645	0.9419
cg01322897	0.0363	0.0338	0.0472
cg01324261	0.3472	0.9181	0.0895
cg01328164	0.0684	0.0654	0.0837
cg01331554	0.0128	0.0254	0.0402
cg01333011	0.0712	0.0831	0.9274
cg01333131	0.0581	0.2221	0.1025
cg01333619	0.0298	0.0318	0.054
cg01333788	0.1125	0.0501	0.8219
cg01334437	0.0784	0.0571	0.1016
cg01335367	0.3991	0.927	0.8313
cg01340005	0.1258	0.0359	0.0395
cg01342792	0.3837	0.9074	0.6727
cg01343729	0.0478	0.0461	0.0367
cg01344171	0.9423	0.9526	0.8873
cg01344452	0.0413	0.0286	0.9365
cg01344518	0.3516	0.8326	0.7175
cg01346152	0.0593	0.0664	0.5315
cg01346589	0.0403	0.0445	0.0441
cg01346718	0.0769	0.1925	0.1034
cg01347719	0.9024	0.9134	0.8942
cg01348086	0.4796	0.5827	0.6566
cg01348757	0.7399	1	0.9342
cg01351032	0.0716	0.4379	0.0599
cg01352108	0.6079	0.88	0.8743
cg01352882	0.0026	0.0066	0.0073
cg01353347	0.0444	0.0406	0.0626
cg01353448	0.086	0.8981	0.8773
cg01354473	0.2114	0.465	0.8093
cg01355520	0.081	0.0817	0.0805
cg01355739	0.7388	0.925	0.9293
cg01356829	0.6854	0.6006	0.9278
cg01357116	0.0451	0.0763	0.0514
cg01357263	0.0385	0.042	0.057
cg01359534	0.1983	0.6013	0.5055
cg01360325	0.0703	0.0457	0.1085
cg01360768	0.0559	0.0521	0.0755
cg01361446	0.1013	0.9126	0.5105
cg01362183	0.0601	0.0576	0.0486
cg01366407	0.07	0.0679	0.0626
cg01366419	0.3956	0.8668	0.1784
cg01367992	0.0676	0.7197	0.1249
cg01369413	0.1613	0.7995	0.3815
cg01371258	0.0448	0.0304	0.0541
cg01371477	0.0685	0.0515	0.0449
cg01372605	0.0304	0.0334	0.0444
cg01372689	0.0855	0.0673	0.1015
cg01373706	0.0318	0.0285	0.0459
cg01375871	0.0565	0.9014	0.3663
cg01375994	0.5762	0.838	0.6465
cg01376672	0.0565	0.0519	0.0665
cg01377911	0.0585	0.0406	0.2597
cg01381846	0.175	0.6157	0.8389
cg01385430	0.039	0.0379	0.0427
cg01386493	0.5459	0.8889	0.6123
cg01389761	0.063	0.0665	0.1678
cg01390445	0.5381	0.8978	0.9222
cg01395672	0.0358	0.0392	0.0137
cg01399317	0.9992	0.998	0.9804
cg01400401	0.0379	0.4418	0.0389
cg01401337	0.0048	0.003	0.0116
cg01401376	0.4559	0.9051	0.0734
cg01402045	0.0809	0.0741	0.0772
cg01402255	0.1173	0.899	0.5617
cg01403114	0.0426	0.06	0.0186
cg01404197	0.0699	0.0725	0.0922
cg01404615	0.2131	0.9019	0.3894
cg01405107	0.6769	0.7076	0.9498
cg01405761	0.0662	0.7827	0.0848
cg01407244	0.625	0.9259	0.8875
cg01407341	0.62	0.878	0.6257
cg01407797	0.0553	0.0622	0.0601
cg01408383	0.0483	0.0423	0.0534
cg01408558	0.7719	0.7942	0.7529
cg01409734	0.0641	0.045	0.0762
cg01410472	0.7154	0.3779	0.0817
cg01411954	0.0684	0.0629	0.1069
cg01412445	0.0194	0.0271	0.0261
cg01413314	0.0328	0.049	0.0581
cg01413516	0.5384	0.9377	0.5122
cg01414934	0.2066	0.1351	0.1244
cg01418124	0.0839	0.0618	0.06
cg01419479	0.1227	0.0411	0.4048
cg01419675	0.0672	0.0583	0.0878
cg01419679	0.0408	0.0369	0.0365
cg01419788	0.0569	0.0575	0.0695
cg01422136	0.0417	0.0517	0.06
cg01424107	0.0779	0.0515	0.1772
cg01425405	0.074	0.0518	0.079
cg01425670	0.4233	0.8556	0.0326
cg01426743	0.4849	0.9514	0.8513
cg01427567	0.0869	0.6132	0.3676
cg01428361	0.0197	0.0292	0.0442
cg01428678	0.0362	0.0332	0.2217
cg01429181	0.0291	0.027	0.0263
cg01429321	0.5921	0.0489	0.9108
cg01429391	0.059	0.7331	0.0416
cg01430430	0.3839	0.9345	0.9014
cg01430807	0.0622	0.064	0.0707
cg01431114	0.1731	0.873	0.1891
cg01437411	0.0735	0.3089	0.0787
cg01438829	0.0653	0.0671	0.0603
cg01439669	0.0294	0.0208	0.0507
cg01439983	0.061	0.0851	0.1852
cg01441777	0.0496	0.0615	0.0485
cg01442481	0.0441	0.0397	0.0286
cg01442799	0.0847	0.0742	0.0895
cg01442833	0.0538	0.0804	0.185
cg01443067	0.0225	0.0254	0.0366
cg01443452	0.6891	0.8946	0.583
cg01446393	0.1541	0.9357	0.8837
cg01446692	0.2755	0.8477	0.3979
cg01446983	0.0154	0.0204	0.0232
cg01447498	0.0744	0.1155	0.0696
cg01449415	0.0685	0.0629	0.1158
cg01454004	0.0637	0.06	0.0621
cg01457080	0.0438	0.0524	0.0928
cg01457653	0.0393	0.0445	0.0593
cg01459162	0.2898	0.8623	0.7395
cg01459453	0.2026	0.9057	0.1446
cg01461641	0.0202	0.0353	0.07
cg01462829	0.0557	0.0349	0.2936
cg01462904	0.0468	0.0267	0.044
cg01464985	0.0621	0.2552	0.3247
cg01465325	0.0709	0.078	0.1008
cg01465620	0.0439	0.0806	0.0713
cg01465641	0.0252	0.025	0.052
cg01466020	0.0651	0.0461	0.0678
cg01466075	0.0632	0.0485	0.0645
cg01468621	0.4348	0.0895	0.1339
cg01468868	0.1065	0.0942	0.1204
cg01469547	0.1156	0.8567	0.2443
cg01470283	0.0786	0.0632	0.1344
cg01471384	0.2892	0.9296	0.0843
cg01471713	0.578	0.6796	0.7864
cg01472101	0.0541	0.8094	0.2582
cg01473816	0.8166	0.8409	0.8914
cg01474260	0.1688	0.3297	0.2428
cg01476044	0.1325	0.9175	0.2461
cg01478450	0.0611	0.0593	0.0731
cg01479232	0.0219	0.0364	0.4404
cg01481441	0.0479	0.0324	0.0724
cg01482279	0.0813	0.0792	0.0858
cg01483882	0.0048	0.0068	0.0107
cg01484156	0.2252	0.9177	0.5402
cg01485645	0.2109	0.1532	0.1862
cg01485797	0.0479	0.1069	0.041
cg01485998	0.4923	0.0504	0.0988
cg01488147	0.7779	0.9251	0.8929
cg01489608	0.918	0.9154	0.8965
cg01490535	0.1198	0.1398	0.1328
cg01491225	0.0309	0.0226	0.0409
cg01491540	0.0476	0.0493	0.0458
cg01492649	0.0496	0.0608	0.0628
cg01493303	0.0022	0.0108	0.0052
cg01493517	0.9159	0.9519	0.1215
cg01494593	0.1018	0.9254	0.1544
cg01495509	0.0591	0.8668	0.7268
cg01497501	0.0152	0.0186	0.0184
cg01497527	0.457	0.7704	0.8236
cg01497576	0.0992	0.8909	0.9195
cg01498098	0.9225	0.9372	0.9359
cg01500097	0.0856	0.7732	0.0972
cg01500140	0.608	0.8525	0.6682
cg01500421	0.0388	0.0493	0.0719
cg01500567	0.0523	0.0449	0.0499
cg01505176	0.0164	0.0248	0.0218
cg01505590	0.0163	0.0174	0.0195
cg01507173	0.4827	0.9238	0.645
cg01508386	0.0408	0.0378	0.0419
cg01510051	0.0864	0.7894	0.6055
cg01511567	0.603	0.469	0.2134
cg01512854	0.3302	0.8878	0.6717
cg01513611	0.0446	0.0365	0.0499
cg01513661	0.0315	0.0413	0.0618
cg01514487	0.3336	0.8705	0.4424
cg01515426	0.0439	0.0521	0.0684
cg01517033	0.7488	0.9465	0.7172
cg01519742	0.7956	0.9293	0.3563
cg01520924	0.8351	0.0582	0.7188
cg01522721	0.0214	0.0264	0.035
cg01522975	0.0325	0.0377	0.0416
cg01525376	0.2406	0.8503	0.4291
cg01530101	0.6694	0.9906	0.9975
cg01531431	0.8273	0.8856	0.7612
cg01532080	0.094	0.1293	0.4945
cg01533387	0.0962	0.0872	0.1225
cg01535453	0.052	0.1001	0.1383
cg01536980	0.0439	0.0447	0.0639
cg01538982	0.1056	0.0902	0.0949
cg01539186	0.0571	0.601	0.0581
cg01541443	0.7534	0.9393	0.9194
cg01541629	0.005	0.0057	0
cg01543654	0.7986	0.8374	0.7071
cg01545079	0.4076	0.9099	0.6716
cg01545242	0.0507	0.0454	0.0483
cg01546046	0.2306	0.3216	0.3413
cg01546430	0.0336	0.0645	0.1121
cg01546563	0.8078	0.9179	0.9302
cg01550148	0.8868	0.8765	0.8617
cg01555431	0.3859	0.0465	0.0644
cg01556075	0.0539	0.4358	0.0751
cg01557297	0.5465	0.0178	0.1428
cg01557667	0.0525	0.0451	0.0671
cg01557989	0.6689	0.9222	0.0826
cg01558777	0.1779	0.8674	0.1756
cg01560871	0.2315	0.9349	0.624
cg01561916	0.1157	0.4167	0.6322
cg01564343	0.0524	0.6531	0.3672
cg01565918	0.2475	0.9418	0.9287
cg01566404	0.8628	0.8874	0.8466
cg01568335	0.0444	0.0469	0.0463
cg01568736	0.7406	0.9605	0.8388
cg01570769	0.0696	0.0587	0.0898
cg01570885	0.9456	0.0387	0.4665
cg01573562	0.1246	0.368	0.1018
cg01578341	0.1063	0.0941	0.11
cg01579216	0.7078	0.8773	0.7751
cg01580044	0.764	0.4957	0.0194
cg01580568	0.0815	0.0616	0.8381
cg01580681	0.6276	0.927	0.9107
cg01580888	0.0062	0.0248	0.159
cg01584473	0.5148	0.83	0.7545
cg01585703	0.0076	0.0522	0.0464
cg01585758	0.0655	0.0499	0.0333
cg01587454	0.7367	0.9388	0.9089
cg01589580	0.1075	0.932	0.0813
cg01593190	0.4007	0.3063	0.2386
cg01593886	0.6057	0.4879	0.5733
cg01594214	0.1341	0.0997	0.169
cg01594262	0.073	0.3069	0.1105
cg01594915	0.0403	0.0383	0.0347
cg01598046	0.0606	0.0522	0.0793
cg01598642	0.2474	0.5727	0.4275
cg01599709	0.0998	0.2638	0.0682
cg01600189	0.2153	0.2575	0.1777
cg01600782	0.0461	0.0367	0.0534
cg01601573	0.568	0.5555	0.6098
cg01602430	0.0635	0.0459	0.0638
cg01603095	0.1628	0.3739	0.4326
cg01605984	0.1367	0.7189	0.1936
cg01606998	0.1146	0.0774	0.102
cg01610488	0.2045	0.8777	0.3548
cg01611640	0.0508	0.0344	0.0466
cg01615080	0.0947	0.0933	0.1081
cg01615704	0.0767	0.0294	1
cg01618083	0	0.0176	0.0113
cg01618304	0.0351	0.0383	0.0535
cg01618851	0.0529	0.5877	0.1526
cg01620308	0.067	0.0566	0.0487
cg01620569	0.031	0.0453	0.0307
cg01620785	0.0533	0.0568	0.0352
cg01623187	0.647	0.9453	0.7325
cg01623438	0.8288	0.8948	0.8853
cg01625242	0.1836	0.6734	0.4637
cg01626197	0.0349	0.0297	0.0635
cg01626227	0.079	0.0722	0.1238
cg01628253	0.0324	0.0308	0.0324
